osm_id,osm_type,name,category,cuisine,lat,lon,address,suburb,website,opening_hours,rating,review_count,review_velocity_per_week,popularity_review,foot_monthly,foot_daily_avg,dwell_min,foot_source,popularity_foot,suburb_source,suburb_conf_km
9049975205,node,Marimo Sushi,restaurant,sushi,-37.8061616,144.9890368,,Collingwood,,,4.6,96,,42.4,,,,,,nearest,0.041
9050119925,node,Sassy Italian Restaurant,restaurant,italian,-37.8069825,144.9425344,,West Melbourne,,,4.7,2529,,60,,,,,,nearest,0.218
9052003973,node,Leaf & Vine,cafe,,-37.7986137,145.240599,34 Panfield Avenue,Ringwood North,https://leafandvine.com.au/,Mo-Su 07:30-15:00,4.6,891,,54.1,,,,,,nearest,0.561
9072741865,node,Boost Juice,cafe,juice,-37.8124089,145.2295315,,Ringwood,,,,,,,,,,,,nearest,0.059
9073393586,node,Leveriero Italiano,cafe,,-37.7575668,145.0616077,,Heidelberg,,Mo-Fr 08:00-15:30; Sa 10:00-15:00; Su off,5,77,,42.9,,,,,,nearest,0.27
9074014496,node,Bendigo Street Milk Bar,cafe,,-37.8247533,145.012155,37 Bendigo Street,Richmond,,,4.3,266,,46.6,,,,,,osm,0.0
9078922674,node,Cafe Boutique,cafe,,-37.7863248,144.9003008,,Maribyrnong,,,,,,,,,,,,nearest,0.725
9084290286,node,The Bangkok Manor Lakes,restaurant,,-37.874963,144.6135461,455 Ballan Road,Tarneit,,Mo-Su 11:00-22:00,4.5,596,,51.6,,,,,,nearest,3.989
9084325524,node,Hungry Jack's,fast_food,burger,-37.873602,144.6132655,455 Ballan Road,Tarneit,,Mo-Su 06:00-21:00,,,,,,,,,,nearest,3.983
9084326510,node,Manor lakes kebab house,restaurant,,-37.8749943,144.6133525,455 Ballan Road,Tarneit,mlkebabhouse.com.au,Mo-Su 11:00-22:00,4.1,372,,47.5,,,,,,nearest,4.007
9084334551,node,Kesari Indian,restaurant,,-37.875061,144.6132458,455 Ballan Road,Tarneit,https://kesari.com.au/,Mo-Su 11:00-21:30,3.4,957,,49.7,,,,,,nearest,4.017
9085598413,node,Mitcham Social,restaurant,,-37.819743,145.1875182,1 Thornton Crescent,Mitcham,https://www.mitchamsocial.com.au/,Th-Sa 12:00-23:00; Su 12:00-22:00,4.4,710,,52.1,,,,,,osm,0.0
9090542227,node,LaManna & Sons,cafe,,-37.8302944,144.9953838,98 Balmain Street,Cremorne,https://lamannaandsons.com.au/,,4.4,338,,48.2,,,,,,nearest,0.195
9092837734,node,Exeter Pizza,fast_food,pizza,-37.770109,145.2890602,72 Exeter Road,Croydon North,,,4.9,665,,53.8,,,,,,osm,0.0
9092913247,node,Warrandyte Cafe,cafe,,-37.7410624,145.2120871,61 Yarra Street,Warrandyte,https://www.warrandytecafe.com.au/,,4.1,318,,46.7,,,,,,osm,0.0
9093376915,node,Saam Saii Thai,restaurant,thai,-37.7355963,145.2716993,72 Jumping Creek Road,Wonga Park,https://saamsaiithai.com.au/,,4.8,260,,48.5,,,,,,osm,0.0
9096662743,node,Angourie Crescent Fish and Chips,fast_food,fish_and_chips,-37.7108072,144.8005319,,Taylors Lakes,,,4.7,236,,47.5,,,,,,nearest,0.906
9104671057,node,Sushi Sushi,restaurant,sushi,-37.6851195,145.1360028,,Plenty,,Mo-Su 08:00-17:00,,,,,,,,,,nearest,1.317
9104671060,node,Goody's Charcoal Chicken,fast_food,chicken,-37.6850793,145.1362475,,Plenty,,,3.2,106,,37.4,,,,,,nearest,1.334
9107250829,node,Wot A Kebab,fast_food,kebab,-37.6739017,145.15931,,Diamond Creek,,,3.8,148,,41.5,,,,,,nearest,0.094
9107250830,node,Kikuchi Sushi,restaurant,japanese,-37.6738176,145.1593217,,Diamond Creek,,,4.8,175,,46.4,,,,,,nearest,0.102
9107250831,node,Subway,fast_food,sandwich,-37.6739097,145.1594118,,Diamond Creek,,,,,,,,,,,,nearest,0.089
9107250838,node,Platters Cafe,cafe,,-37.673949,145.1596766,,Diamond Creek,,,4.2,285,,46.5,,,,,,nearest,0.076
9107250841,node,Yellowtail Fish & Chips,fast_food,fish_and_chips,-37.6739703,145.1599205,,Diamond Creek,,,3.5,137,,39.9,,,,,,nearest,0.071
9107250844,node,La Sera,fast_food,pizza,-37.6739996,145.1601338,,Diamond Creek,,,3.8,237,,44,,,,,,nearest,0.07
9107250845,node,Ogawa Japanese Cafe,restaurant,japanese,-37.674004,145.160209,,Diamond Creek,,,4.7,114,,43.7,,,,,,nearest,0.072
9107250888,node,Beijing House,restaurant,chinese,-37.6748045,145.159564,72 Main Hurstbridge Road,Diamond Creek,,,3.6,35,,33.2,,,,,,osm,0.0
9107250889,node,Diamond Creek Noodle Bar,restaurant,noodle,-37.67484,145.1596063,72 Main Hurstbridge Road,Diamond Creek,,,4.4,72,,40.2,,,,,,osm,0.0
9107250890,node,8.8oz,cafe,,-37.6748732,145.159641,72 Main Hurstbridge Road,Diamond Creek,,,,,,,,,,,,osm,0.0
9107250891,node,Plaza Fish & Chips,fast_food,fish_and_chips,-37.6748792,145.1596857,72 Main Hurstbridge Road,Diamond Creek,,,4,93,,39.9,,,,,,osm,0.0
9107250898,node,Mr Rooster,fast_food,chicken,-37.6746862,145.1598988,72 Main Hurstbridge Road,Diamond Creek,,,3.9,161,,42.3,,,,,,osm,0.0
9107250899,node,Aksorn Thai,restaurant,thai,-37.6746048,145.1599126,72 Main Hurstbridge Road,Diamond Creek,,,4.3,182,,44.6,,,,,,osm,0.0
9107756450,node,Lip Cafe,cafe,,-37.7593628,145.0443093,226 Waterdale Road,Ivanhoe,,,,,,,,,,,,nearest,0.842
9107756453,node,North Ivanhoe Fish And Chips,fast_food,fish_and_chips,-37.7592071,145.0443322,232 Waterdale Road,Ivanhoe,,Tu-Th 11:00-20:00; Fr 11:00-21:00; Sa-Su 16:00-20:00,4,154,,42.5,,,,,,nearest,0.859
9107756462,node,Larry’s Of Ivamhoe,fast_food,pizza,-37.7591137,145.0443462,,Ivanhoe,,,4.4,129,,43.2,,,,,,nearest,0.87
9109742199,node,Cookhouse Burgers,fast_food,burger,-37.6743958,145.1581007,54 Main Hurstbridge Road,Diamond Creek,,,4.7,219,,47.2,,,,,,osm,0.0
9109742200,node,Wang Wang Dumpling,restaurant,chinese,-37.6744034,145.1580286,52 Main Hurstbridge Road,Diamond Creek,,,4.2,233,,45.5,,,,,,osm,0.0
9109742201,node,Bridies,cafe,,-37.6744112,145.1579601,48-50 Main Hurstbridge Road,Diamond Creek,,,4.6,67,,40.6,,,,,,osm,0.0
9109763597,node,Diamond Creek Fish & Chips,fast_food,fish_and_chips,-37.6728508,145.1509609,14 Chute Street,Diamond Creek,,,3.9,173,,42.7,,,,,,osm,0.0
9109763598,node,Da Vinci Pizza & Pasta,fast_food,pizza,-37.6728772,145.1510091,16 Chute Street,Diamond Creek,,,4.4,148,,43.9,,,,,,osm,0.0
9109763600,node,Mirza Food & Wine,restaurant,indian,-37.6729313,145.1511086,20 Chute Street,Diamond Creek,,,4.9,172,,46.7,,,,,,osm,0.0
9109763602,node,DC Thai's,restaurant,thai,-37.6729914,145.1512075,24 Chute Street,Diamond Creek,,,4.5,142,,44.1,,,,,,osm,0.0
9109763608,node,Laksa Hub,restaurant,malaysian,-37.673172,145.1515137,36 Chute Street,Diamond Creek,,,4.7,133,,44.5,,,,,,osm,0.0
9110130593,node,Akamaru Japanese Dining,restaurant,japanese,-37.7742521,145.0395349,,Alphington,,,4.7,142,,44.9,,,,,,nearest,0.882
9110791855,node,Di Pietro's,cafe,,-37.6724444,145.1512818,1-11 Chute Street,Diamond Creek,,,4.5,278,,47.6,,,,,,osm,0.0
9110791857,node,Yo Fomo,ice_cream,frozen_yogurt,-37.6725234,145.1514149,19 Chute Street,Diamond Creek,,,4.6,21,,34.6,,,,,,osm,0.0
9110791861,node,Squires Loft,restaurant,,-37.6726501,145.1517387,29-35 Chute Street,Diamond Creek,,,4.3,328,,47.7,,,,,,osm,0.0
9110791885,node,Mr Chips,fast_food,fish_and_chips,-37.6729089,145.152337,51 Chute Street,Diamond Creek,,,4.1,97,,40.5,,,,,,osm,0.0
9110791888,node,Piccolo Meccanico,coffee,,-37.6729375,145.1524926,57 Chute Street,Diamond Creek,,,4.7,332,,49.3,,,,,,osm,0.0
